# Quat (xyzw) is -0.453478085485 0.747554224394 0.326582285891 0.358976765428
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1226277557 2018-11-15 00:38:59  -0.00   32.4   35.4   49.8   68.6   97.5   92.5   87.0   82.0  15.5  52.7  10083 1437.528
1226281157 2018-11-15 01:38:59   0.04   37.2   37.4   49.1   66.3   97.8   92.4   86.5   81.2  15.5  52.1  10085 1437.570
1226284757 2018-11-15 02:38:59   0.08   42.0   39.9   48.9   64.2   98.2   92.3   86.1   80.5  15.6  51.7  10087 1437.611
1226288357 2018-11-15 03:38:59   0.12   46.8   42.9   49.1   62.4   98.6   92.4   85.8   79.8  15.7  51.3  10089 1437.653
1226291957 2018-11-15 04:38:59   0.17   51.6   46.0   49.6   60.7   99.1   92.5   85.5   79.1  15.9  51.0  10091 1437.695
1226295557 2018-11-15 05:38:59   0.21   56.3   49.4   50.6   59.4   99.7   92.7   85.2   78.5  16.1  50.7  10093 1437.736
1226299157 2018-11-15 06:38:59   0.25   60.9   52.8   51.8   58.2  100.3   92.9   85.0   78.0  16.3  50.5  10095 1437.778
1226302757 2018-11-15 07:38:59   0.29   65.4   56.3   53.2   57.4  100.9   93.2   84.9   77.5  16.6  50.4  10097 1437.820
1226306357 2018-11-15 08:38:59   0.33   69.8   59.7   54.8   56.8  101.6   93.5   84.8   77.0  16.9  50.3  10099 1437.861
1226309957 2018-11-15 09:38:59   0.37   73.9   63.1   56.6   56.5  102.2   93.8   84.8   76.6  17.3  50.3  10101 1437.903
1226313557 2018-11-15 10:38:59   0.42   77.9   66.4   58.5   56.3  102.9   94.2   84.9   76.3  17.7  50.3  10103 1437.945
1226317157 2018-11-15 11:38:59   0.46   81.8   69.6   60.4   56.4  103.6   94.6   84.9   76.0  18.1  50.4  10105 1437.986
1226320757 2018-11-15 12:38:59   0.50   85.4   72.7   62.3   56.6  104.2   95.0   85.0   75.8  18.5  50.5  10107 1438.028
1226324357 2018-11-15 13:38:59   0.54   88.9   75.6   64.3   56.9  104.9   95.4   85.2   75.6  18.9  50.7  10109 1438.070
1226327957 2018-11-15 14:38:59   0.58   92.3   78.5   66.2   57.4  105.5   95.9   85.3   75.5  19.4  50.9  10111 1438.111
1226331557 2018-11-15 15:38:59   0.62   95.4   81.2   68.1   58.0  106.1   96.3   85.5   75.4  19.9  51.1  10113 1438.153
1226335157 2018-11-15 16:38:59   0.67   98.5   83.8   69.9   58.7  106.8   96.7   85.8   75.4  20.4  51.4  10115 1438.195
1226338757 2018-11-15 17:38:59   0.71  101.4   86.3   71.7   59.4  107.3   97.2   86.0   75.4  20.9  51.6  10117 1438.236
1226342357 2018-11-15 18:38:59   0.75  104.1   88.7   73.4   60.1  107.9   97.6   86.2   75.4  21.4  51.9  10119 1438.278
1226345957 2018-11-15 19:38:59   0.79  106.7   91.0   75.1   60.9  108.4   98.0   86.5   75.5  21.9  52.3  10121 1438.320
1226349557 2018-11-15 20:38:59   0.83  109.2   93.1   76.8   61.7  109.0   98.5   86.8   75.5  22.4  52.6  10123 1438.361
1226353157 2018-11-15 21:38:59   0.87  111.6   95.2   78.3   62.6  109.4   98.9   87.1   75.6  22.9  52.9  10125 1438.403
1226356757 2018-11-15 22:38:59   0.92  113.9   97.2   79.8   63.4  109.9   99.3   87.3   75.8  23.4  53.3  10127 1438.445
1226360357 2018-11-15 23:38:59   0.96  116.0   99.1   81.3   64.3  110.3   99.6   87.6   75.9  24.0  53.7  10129 1438.486
1226363957 2018-11-16 00:38:59   1.00  118.1  100.9   82.7   65.1  110.8  100.0   87.9   76.1  24.5  54.0  10131 1438.528
1226367557 2018-11-16 01:38:59   1.04  120.1  102.6   84.0   65.9  111.2  100.4   88.2   76.2  25.0  54.4  10133 1438.570
1226371157 2018-11-16 02:38:59   1.08  122.0  104.2   85.3   66.8  111.5  100.7   88.5   76.4  25.5  54.8  10135 1438.611
1226374757 2018-11-16 03:38:59   1.12  123.8  105.8   86.6   67.6  111.9  101.1   88.8   76.6  26.1  55.1  10137 1438.653
1226378357 2018-11-16 04:38:59   1.17  125.6  107.3   87.8   68.4  112.2  101.4   89.0   76.8  26.6  55.5  10139 1438.695
1226381957 2018-11-16 05:38:59   1.21  127.2  108.7   88.9   69.2  112.5  101.7   89.3   77.0  27.1  55.9  10141 1438.736
1226385557 2018-11-16 06:38:59   1.25  128.8  110.1   90.0   70.0  112.8  102.0   89.6   77.2  27.6  56.3  10143 1438.778
1226389157 2018-11-16 07:38:59   1.29  130.4  111.4   91.1   70.7  113.0  102.3   89.9   77.5  28.1  56.6  10145 1438.820
1226392757 2018-11-16 08:38:59   1.33  131.9  112.7   92.1   71.5  113.3  102.6   90.1   77.7  28.6  57.0  10147 1438.861
1226396357 2018-11-16 09:38:59   1.37  133.3  113.9   93.1   72.2  113.5  102.8   90.4   77.9  29.2  57.3  10149 1438.903
1226399957 2018-11-16 10:38:59   1.42  134.7  115.1   94.1   72.9  113.7  103.1   90.7   78.2  29.7  57.7  10151 1438.945
1226403557 2018-11-16 11:38:59   1.46  136.0  116.2   95.0   73.6  113.9  103.3   90.9   78.4  30.2  58.0  10153 1438.986
1226407157 2018-11-16 12:38:59   1.50  137.3  117.3   95.9   74.3  114.0  103.5   91.2   78.7  30.7  58.4  10155 1439.028
1226410757 2018-11-16 13:38:59   1.54  138.5  118.3   96.8   75.0  114.2  103.8   91.4   78.9  31.2  58.7  10157 1439.070
1226414357 2018-11-16 14:38:59   1.58  139.7  119.3   97.6   75.6  114.3  104.0   91.7   79.1  31.6  59.1  10159 1439.111
1226417957 2018-11-16 15:38:59   1.62  140.9  120.3   98.4   76.3  114.5  104.2   91.9   79.4  32.1  59.4  10161 1439.153
1226421557 2018-11-16 16:38:59   1.67  142.0  121.2   99.2   76.9  114.6  104.4   92.1   79.6  32.6  59.7  10163 1439.195
1226425157 2018-11-16 17:38:59   1.71  143.1  122.1   99.9   77.5  114.7  104.5   92.4   79.9  33.1  60.0  10165 1439.236
1226428757 2018-11-16 18:38:59   1.75  144.1  123.0  100.7   78.1  114.7  104.7   92.6   80.1  33.6  60.3  10167 1439.278
1226432357 2018-11-16 19:38:59   1.79  145.1  123.8  101.4   78.7  114.8  104.9   92.8   80.4  34.0  60.6  10169 1439.320
1226435957 2018-11-16 20:38:59   1.83  146.1  124.7  102.1   79.3  114.9  105.0   93.0   80.6  34.5  60.9  10171 1439.361
1226439557 2018-11-16 21:38:59   1.87  147.0  125.4  102.7   79.8  114.9  105.1   93.2   80.9  34.9  61.2  10173 1439.403
1226443157 2018-11-16 22:38:59   1.92  147.9  126.2  103.4   80.4  114.9  105.3   93.4   81.1  35.4  61.5  10175 1439.445
1226446757 2018-11-16 23:38:59   1.96  148.8  126.9  104.0   80.9  115.0  105.4   93.6   81.4  35.8  61.8  10177 1439.486
1226450357 2018-11-17 00:38:59   2.00  149.7  127.6  104.6   81.4  115.0  105.5   93.8   81.6  36.3  62.0  10179 1439.528
1226453957 2018-11-17 01:38:59   2.04  150.5  128.3  105.2   81.9  115.0  105.6   94.0   81.9  36.7  62.3  10181 1439.570
1226457557 2018-11-17 02:38:59   2.08  151.3  129.0  105.8   82.4  115.0  105.7   94.2   82.1  37.1  62.5  10183 1439.611
1226461157 2018-11-17 03:38:59   2.12  152.1  129.6  106.4   82.9  115.0  105.8   94.4   82.3  37.6  62.8  10185 1439.653
1226464757 2018-11-17 04:38:59   2.17  152.8  130.3  106.9   83.4  115.0  105.9   94.6   82.6  38.0  63.0  10187 1439.695
1226468357 2018-11-17 05:38:59   2.21  153.6  130.9  107.5   83.9  114.9  106.0   94.7   82.8  38.4  63.3  10189 1439.736
1226471957 2018-11-17 06:38:59   2.25  154.3  131.5  108.0   84.4  114.9  106.1   94.9   83.1  38.8  63.5  10191 1439.778
1226475557 2018-11-17 07:38:59   2.29  155.0  132.0  108.5   84.8  114.8  106.2   95.1   83.3  39.2  63.7  10193 1439.820
1226479157 2018-11-17 08:38:59   2.33  155.6  132.6  109.0   85.3  114.8  106.2   95.2   83.5  39.6  63.9  10195 1439.861
1226482757 2018-11-17 09:38:59   2.37  156.3  133.1  109.5   85.7  114.7  106.3   95.4   83.8  40.0  64.1  10197 1439.903
1226486357 2018-11-17 10:38:59   2.42  156.9  133.6  109.9   86.1  114.6  106.3   95.6   84.0  40.4  64.3  10199 1439.945
1226489957 2018-11-17 11:38:59   2.46  157.5  134.1  110.4   86.6  114.6  106.4   95.7   84.2  40.8  64.5  10201 1439.986
1226493557 2018-11-17 12:38:59   2.50  158.1  134.6  110.8   87.0  114.5  106.4   95.9   84.5  41.2  64.7  10203 1440.028
1226497157 2018-11-17 13:38:59   2.54  158.6  135.1  111.3   87.4  114.4  106.5   96.0   84.7  41.6  64.8  10205 1440.070
1226500757 2018-11-17 14:38:59   2.58  159.2  135.5  111.7   87.8  114.3  106.5   96.1   84.9  42.0  65.0  10207 1440.111
1226504357 2018-11-17 15:38:59   2.62  159.7  136.0  112.1   88.2  114.2  106.5   96.3   85.2  42.3  65.2  10209 1440.153
1226507957 2018-11-17 16:38:59   2.67  160.2  136.4  112.5   88.6  114.1  106.5   96.4   85.4  42.7  65.3  10211 1440.195
1226511557 2018-11-17 17:38:59   2.71  160.7  136.8  112.9   88.9  114.0  106.6   96.6   85.6  43.1  65.5  10213 1440.236
1226515157 2018-11-17 18:38:59   2.75  161.1  137.3  113.3   89.3  113.9  106.6   96.7   85.9  43.4  65.6  10215 1440.278
1226518757 2018-11-17 19:38:59   2.79  161.6  137.6  113.7   89.7  113.7  106.6   96.8   86.1  43.8  65.8  10217 1440.320
1226522357 2018-11-17 20:38:59   2.83  162.0  138.0  114.0   90.1  113.6  106.6   96.9   86.3  44.1  65.9  10219 1440.361
1226525957 2018-11-17 21:38:59   2.87  162.4  138.4  114.4   90.4  113.5  106.6   97.1   86.5  44.5  66.0  10221 1440.403
1226529557 2018-11-17 22:38:59   2.92  162.8  138.8  114.8   90.8  113.3  106.6   97.2   86.7  44.8  66.1  10223 1440.445
1226533157 2018-11-17 23:38:59   2.96  163.1  139.1  115.1   91.1  113.2  106.6   97.3   87.0  45.1  66.2  10225 1440.486
1226536757 2018-11-18 00:38:59   3.00  163.5  139.5  115.5   91.5  113.1  106.6   97.4   87.2  45.5  66.4  10227 1440.528
1226540357 2018-11-18 01:38:59   3.04  163.8  139.8  115.8   91.8  112.9  106.5   97.5   87.4  45.8  66.5  10229 1440.570
1226543957 2018-11-18 02:38:59   3.08  164.1  140.1  116.1   92.1  112.7  106.5   97.6   87.6  46.1  66.6  10231 1440.611
1226547557 2018-11-18 03:38:59   3.12  164.3  140.4  116.4   92.5  112.6  106.5   97.8   87.8  46.4  66.6  10233 1440.653
1226551157 2018-11-18 04:38:59   3.17  164.6  140.7  116.8   92.8  112.4  106.5   97.9   88.1  46.8  66.7  10235 1440.695
1226554757 2018-11-18 05:38:59   3.21  164.8  141.0  117.1   93.1  112.2  106.4   98.0   88.3  47.1  66.8  10237 1440.736
1226558357 2018-11-18 06:38:59   3.25  165.0  141.3  117.4   93.4  112.1  106.4   98.1   88.5  47.4  66.9  10239 1440.778
1226561957 2018-11-18 07:38:59   3.29  165.2  141.6  117.7   93.7  111.9  106.4   98.2   88.7  47.7  66.9  10241 1440.820
1226565557 2018-11-18 08:38:59   3.33  165.4  141.8  117.9   94.0  111.7  106.3   98.3   88.9  48.0  67.0  10243 1440.861
1226569157 2018-11-18 09:38:59   3.37  165.6  142.1  118.2   94.3  111.5  106.3   98.4   89.1  48.3  67.1  10245 1440.903
1226572757 2018-11-18 10:38:59   3.42  165.7  142.3  118.5   94.6  111.3  106.2   98.4   89.4  48.5  67.1  10247 1440.945
1226576357 2018-11-18 11:38:59   3.46  165.8  142.6  118.8   94.9  111.2  106.2   98.5   89.6  48.8  67.2  10249 1440.986
1226579957 2018-11-18 12:38:59   3.50  165.9  142.8  119.1   95.2  111.0  106.1   98.6   89.8  49.1  67.2  10251 1441.028
1226583557 2018-11-18 13:38:59   3.54  166.0  143.0  119.3   95.5  110.8  106.1   98.7   90.0  49.4  67.2  10253 1441.070
1226587157 2018-11-18 14:38:59   3.58  166.0  143.2  119.6   95.8  110.6  106.0   98.8   90.2  49.7  67.3  10255 1441.111
1226590757 2018-11-18 15:38:59   3.62  166.1  143.5  119.8   96.1  110.4  106.0   98.9   90.4  49.9  67.3  10257 1441.153
1226594357 2018-11-18 16:38:59   3.67  166.1  143.7  120.1   96.3  110.2  105.9   99.0   90.6  50.2  67.3  10259 1441.195
1226597957 2018-11-18 17:38:59   3.71  166.1  143.9  120.3   96.6  109.9  105.8   99.0   90.8  50.4  67.3  10261 1441.236
1226601557 2018-11-18 18:38:59   3.75  166.0  144.0  120.6   96.9  109.7  105.8   99.1   91.0  50.7  67.3  10263 1441.278
1226605157 2018-11-18 19:38:59   3.79  166.0  144.2  120.8   97.1  109.5  105.7   99.2   91.3  50.9  67.3  10265 1441.320
1226608757 2018-11-18 20:38:59   3.83  166.0  144.4  121.0   97.4  109.3  105.6   99.3   91.5  51.2  67.3  10267 1441.361
1226612357 2018-11-18 21:38:59   3.87  165.9  144.6  121.3   97.7  109.1  105.5   99.4   91.7  51.4  67.3  10269 1441.403
1226615957 2018-11-18 22:38:59   3.92  165.8  144.7  121.5   97.9  108.8  105.5   99.4   91.9  51.7  67.3  10271 1441.445
1226619557 2018-11-18 23:38:59   3.96  165.7  144.9  121.7   98.2  108.6  105.4   99.5   92.1  51.9  67.3  10273 1441.486
1226623157 2018-11-19 00:38:59   4.00  165.6  145.0  121.9   98.4  108.4  105.3   99.6   92.3  52.1  67.3  10275 1441.528
1226626757 2018-11-19 01:38:59   4.04  165.5  145.2  122.1   98.7  108.2  105.2   99.6   92.5  52.4  67.3  10277 1441.570
1226630357 2018-11-19 02:38:59   4.08  165.3  145.3  122.3   98.9  107.9  105.1   99.7   92.7  52.6  67.3  10279 1441.611
1226633957 2018-11-19 03:38:59   4.12  165.2  145.5  122.6   99.2  107.7  105.0   99.8   92.9  52.8  67.2  10281 1441.653
1226637557 2018-11-19 04:38:59   4.17  165.0  145.6  122.8   99.4  107.4  104.9   99.8   93.1  53.0  67.2  10283 1441.695
1226641157 2018-11-19 05:38:59   4.21  164.9  145.7  123.0   99.7  107.2  104.8   99.9   93.3  53.3  67.2  10285 1441.736
1226644757 2018-11-19 06:38:59   4.25  164.7  145.8  123.1   99.9  107.0  104.7   99.9   93.5  53.5  67.1  10287 1441.778
1226648357 2018-11-19 07:38:59   4.29  164.5  145.9  123.3  100.1  106.7  104.6  100.0   93.7  53.7  67.1  10289 1441.820
1226651957 2018-11-19 08:38:59   4.33  164.3  146.0  123.5  100.4  106.5  104.5  100.1   93.9  53.9  67.0  10291 1441.861
1226655557 2018-11-19 09:38:59   4.37  164.1  146.1  123.7  100.6  106.2  104.4  100.1   94.1  54.1  67.0  10293 1441.903
1226659157 2018-11-19 10:38:59   4.42  163.9  146.2  123.9  100.8  105.9  104.3  100.2   94.3  54.3  66.9  10295 1441.945
1226662757 2018-11-19 11:38:59   4.46  163.7  146.3  124.1  101.1  105.7  104.2  100.2   94.6  54.5  66.8  10297 1441.986
1226666357 2018-11-19 12:38:59   4.50  163.5  146.4  124.2  101.3  105.4  104.1  100.3   94.8  54.6  66.8  10299 1442.028
1226669957 2018-11-19 13:38:59   4.54  163.2  146.5  124.4  101.5  105.2  104.0  100.3   95.0  54.8  66.7  10301 1442.070
1226673557 2018-11-19 14:38:59   4.58  163.0  146.5  124.6  101.7  104.9  103.9  100.4   95.2  55.0  66.6  10303 1442.111
1226677157 2018-11-19 15:38:59   4.62  162.8  146.6  124.8  101.9  104.6  103.7  100.4   95.4  55.2  66.6  10305 1442.153
1226680757 2018-11-19 16:38:59   4.67  162.5  146.7  124.9  102.2  104.4  103.6  100.5   95.6  55.3  66.5  10307 1442.195
1226684357 2018-11-19 17:38:59   4.71  162.3  146.7  125.1  102.4  104.1  103.5  100.5   95.8  55.5  66.4  10309 1442.236
1226687957 2018-11-19 18:38:59   4.75  162.0  146.8  125.2  102.6  103.8  103.4  100.6   96.0  55.7  66.3  10311 1442.278
1226691557 2018-11-19 19:38:59   4.79  161.8  146.8  125.4  102.8  103.5  103.3  100.6   96.2  55.8  66.2  10313 1442.320
1226695157 2018-11-19 20:38:59   4.83  161.5  146.9  125.6  103.0  103.3  103.1  100.7   96.4  56.0  66.1  10315 1442.361
1226698757 2018-11-19 21:38:59   4.87  161.2  146.9  125.7  103.2  103.0  103.0  100.7   96.6  56.2  66.0  10317 1442.403
1226702357 2018-11-19 22:38:59   4.92  161.0  146.9  125.9  103.4  102.7  102.9  100.8   96.8  56.3  65.9  10319 1442.445
1226705957 2018-11-19 23:38:59   4.96  160.7  147.0  126.0  103.6  102.4  102.7  100.8   97.0  56.5  65.8  10321 1442.486
1226709557 2018-11-20 00:38:59   5.00  160.4  147.0  126.1  103.8  102.1  102.6  100.8   97.2  56.6  65.7  10323 1442.528
1226713157 2018-11-20 01:38:59   5.04  160.2  147.0  126.3  104.0  101.8  102.5  100.9   97.4  56.7  65.6  10325 1442.570
1226716757 2018-11-20 02:38:59   5.08  159.9  147.0  126.4  104.2  101.6  102.3  100.9   97.6  56.9  65.5  10327 1442.611
1226720357 2018-11-20 03:38:59   5.12  159.6  147.0  126.6  104.4  101.3  102.2  101.0   97.8  57.0  65.4  10329 1442.653
1226723957 2018-11-20 04:38:59   5.17  159.3  147.0  126.7  104.6  101.0  102.0  101.0   98.1  57.1  65.3  10331 1442.695
1226727557 2018-11-20 05:38:59   5.21  159.0  147.1  126.8  104.8  100.7  101.9  101.0   98.3  57.3  65.2  10333 1442.736
1226731157 2018-11-20 06:38:59   5.25  158.8  147.1  127.0  105.0  100.4  101.8  101.1   98.5  57.4  65.0  10335 1442.778
1226734757 2018-11-20 07:38:59   5.29  158.5  147.0  127.1  105.2  100.1  101.6  101.1   98.7  57.5  64.9  10337 1442.820
1226738357 2018-11-20 08:38:59   5.33  158.2  147.0  127.2  105.4   99.8  101.5  101.1   98.9  57.6  64.8  10339 1442.861
1226741957 2018-11-20 09:38:59   5.37  157.9  147.0  127.3  105.6   99.5  101.3  101.2   99.1  57.7  64.7  10341 1442.903
1226745557 2018-11-20 10:38:59   5.42  157.6  147.0  127.5  105.8   99.2  101.2  101.2   99.3  57.8  64.5  10343 1442.945
1226749157 2018-11-20 11:38:59   5.46  157.3  147.0  127.6  106.0   98.8  101.0  101.2   99.5  58.0  64.4  10345 1442.986
1226752757 2018-11-20 12:38:59   5.50  157.0  147.0  127.7  106.2   98.5  100.8  101.3   99.7  58.1  64.3  10347 1443.028
1226756357 2018-11-20 13:38:59   5.54  156.7  147.0  127.8  106.4   98.2  100.7  101.3   99.9  58.2  64.1  10349 1443.070
1226759957 2018-11-20 14:38:59   5.58  156.4  146.9  127.9  106.5   97.9  100.5  101.3  100.1  58.3  64.0  10351 1443.111
1226763557 2018-11-20 15:38:59   5.62  156.1  146.9  128.0  106.7   97.6  100.4  101.4  100.4  58.3  63.8  10353 1443.153
1226767157 2018-11-20 16:38:59   5.67  155.8  146.9  128.1  106.9   97.3  100.2  101.4  100.6  58.4  63.7  10355 1443.195
1226770757 2018-11-20 17:38:59   5.71  155.5  146.8  128.2  107.1   96.9  100.0  101.4  100.8  58.5  63.5  10357 1443.236
1226774357 2018-11-20 18:38:59   5.75  155.2  146.8  128.3  107.3   96.6   99.9  101.4  101.0  58.6  63.4  10359 1443.278
1226777957 2018-11-20 19:38:59   5.79  154.9  146.7  128.4  107.5   96.3   99.7  101.5  101.2  58.7  63.2  10361 1443.320
1226781557 2018-11-20 20:38:59   5.83  154.6  146.7  128.5  107.6   96.0   99.5  101.5  101.4  58.8  63.1  10363 1443.361
1226785157 2018-11-20 21:38:59   5.87  154.3  146.6  128.6  107.8   95.6   99.4  101.5  101.6  58.8  62.9  10365 1443.403
1226788757 2018-11-20 22:38:59   5.92  154.0  146.6  128.7  108.0   95.3   99.2  101.5  101.8  58.9  62.8  10367 1443.445
1226792357 2018-11-20 23:38:59   5.96  153.7  146.5  128.8  108.2   95.0   99.0  101.6  102.1  59.0  62.6  10369 1443.486
1226795957 2018-11-21 00:38:59   6.00  153.4  146.4  128.9  108.3   94.6   98.9  101.6  102.3  59.0  62.4  10371 1443.528
1226799557 2018-11-21 01:38:59   6.04  153.1  146.4  129.0  108.5   94.3   98.7  101.6  102.5  59.1  62.3  10373 1443.570
1226803157 2018-11-21 02:38:59   6.08  152.8  146.3  129.1  108.7   93.9   98.5  101.6  102.7  59.1  62.1  10375 1443.611
1226806757 2018-11-21 03:38:59   6.12  152.5  146.2  129.2  108.9   93.6   98.3  101.6  102.9  59.2  61.9  10377 1443.653
1226810357 2018-11-21 04:38:59   6.17  152.2  146.2  129.3  109.0   93.3   98.1  101.6  103.1  59.2  61.8  10379 1443.695
1226813957 2018-11-21 05:38:59   6.21  151.9  146.1  129.4  109.2   92.9   98.0  101.7  103.4  59.3  61.6  10381 1443.736
1226817557 2018-11-21 06:38:59   6.25  151.6  146.0  129.4  109.4   92.6   97.8  101.7  103.6  59.3  61.4  10383 1443.778
1226821157 2018-11-21 07:38:59   6.29  151.3  145.9  129.5  109.5   92.2   97.6  101.7  103.8  59.4  61.3  10385 1443.820
1226824757 2018-11-21 08:38:59   6.33  151.0  145.8  129.6  109.7   91.9   97.4  101.7  104.0  59.4  61.1  10387 1443.861
1226828357 2018-11-21 09:38:59   6.37  150.6  145.7  129.7  109.9   91.5   97.2  101.7  104.2  59.4  60.9  10389 1443.903
1226831957 2018-11-21 10:38:59   6.42  150.3  145.6  129.7  110.0   91.1   97.0  101.7  104.4  59.5  60.7  10391 1443.945
1226835557 2018-11-21 11:38:59   6.46  150.0  145.5  129.8  110.2   90.8   96.8  101.7  104.7  59.5  60.5  10393 1443.986
1226839157 2018-11-21 12:38:59   6.50  149.7  145.4  129.9  110.4   90.4   96.6  101.8  104.9  59.5  60.4  10395 1444.028
1226842757 2018-11-21 13:38:59   6.54  149.4  145.3  129.9  110.5   90.1   96.4  101.8  105.1  59.5  60.2  10397 1444.070
1226846357 2018-11-21 14:38:59   6.58  149.1  145.2  130.0  110.7   89.7   96.2  101.8  105.3  59.5  60.0  10399 1444.111
1226849957 2018-11-21 15:38:59   6.62  148.8  145.1  130.1  110.8   89.3   96.0  101.8  105.5  59.5  59.8  10401 1444.153
1226853557 2018-11-21 16:38:59   6.67  148.5  145.0  130.1  111.0   88.9   95.8  101.8  105.8  59.6  59.6  10403 1444.195
1226857157 2018-11-21 17:38:59   6.71  148.1  144.9  130.2  111.2   88.6   95.6  101.8  106.0  59.6  59.5  10405 1444.236
1226860757 2018-11-21 18:38:59   6.75  147.8  144.8  130.3  111.3   88.2   95.4  101.8  106.2  59.6  59.3  10407 1444.278
1226864357 2018-11-21 19:38:59   6.79  147.5  144.7  130.3  111.5   87.8   95.2  101.8  106.4  59.6  59.1  10409 1444.320
1226867957 2018-11-21 20:38:59   6.83  147.2  144.5  130.4  111.6   87.4   95.0  101.8  106.6  59.6  58.9  10411 1444.361
1226871557 2018-11-21 21:38:59   6.87  146.9  144.4  130.4  111.8   87.1   94.8  101.8  106.9  59.5  58.7  10413 1444.403
1226875157 2018-11-21 22:38:59   6.92  146.6  144.3  130.5  112.0   86.7   94.6  101.8  107.1  59.5  58.5  10415 1444.445
1226878757 2018-11-21 23:38:59   6.96  146.2  144.2  130.5  112.1   86.3   94.4  101.8  107.3  59.5  58.3  10417 1444.486
1226882357 2018-11-22 00:38:59   7.00  145.9  144.0  130.6  112.3   85.9   94.2  101.8  107.5  59.5  58.2  10419 1444.528
1226885957 2018-11-22 01:38:59   7.04  145.6  143.9  130.6  112.4   85.5   94.0  101.8  107.7  59.5  58.0  10421 1444.570
1226889557 2018-11-22 02:38:59   7.08  145.3  143.8  130.7  112.6   85.1   93.7  101.8  108.0  59.5  57.8  10423 1444.611
1226893157 2018-11-22 03:38:59   7.12  145.0  143.6  130.7  112.7   84.7   93.5  101.8  108.2  59.4  57.6  10425 1444.653
1226896757 2018-11-22 04:38:59   7.17  144.6  143.5  130.7  112.9   84.3   93.3  101.8  108.4  59.4  57.4  10427 1444.695
1226900357 2018-11-22 05:38:59   7.21  144.3  143.3  130.8  113.0   83.9   93.1  101.8  108.6  59.4  57.2  10429 1444.736
1226903957 2018-11-22 06:38:59   7.25  144.0  143.2  130.8  113.2   83.5   92.9  101.8  108.9  59.3  57.0  10431 1444.778
1226907557 2018-11-22 07:38:59   7.29  143.7  143.0  130.9  113.3   83.1   92.6  101.8  109.1  59.3  56.8  10433 1444.820
1226911157 2018-11-22 08:38:59   7.33  143.3  142.9  130.9  113.5   82.7   92.4  101.8  109.3  59.2  56.6  10435 1444.861
1226914757 2018-11-22 09:38:59   7.37  143.0  142.7  130.9  113.6   82.3   92.2  101.8  109.5  59.2  56.5  10437 1444.903
1226918357 2018-11-22 10:38:59   7.42  142.7  142.6  130.9  113.8   81.9   91.9  101.7  109.7  59.1  56.3  10439 1444.945
1226921957 2018-11-22 11:38:59   7.46  142.4  142.4  131.0  113.9   81.5   91.7  101.7  110.0  59.1  56.1  10441 1444.986
1226925557 2018-11-22 12:38:59   7.50  142.0  142.2  131.0  114.1   81.0   91.5  101.7  110.2  59.0  55.9  10443 1445.028
1226929157 2018-11-22 13:38:59   7.54  141.7  142.1  131.0  114.2   80.6   91.2  101.7  110.4  59.0  55.7  10445 1445.070
1226932757 2018-11-22 14:38:59   7.58  141.4  141.9  131.0  114.4   80.2   91.0  101.7  110.6  58.9  55.5  10447 1445.111
1226936357 2018-11-22 15:38:59   7.62  141.0  141.7  131.1  114.5   79.8   90.8  101.7  110.8  58.8  55.3  10449 1445.153
1226939957 2018-11-22 16:38:59   7.67  140.7  141.5  131.1  114.7   79.4   90.5  101.6  111.1  58.7  55.1  10451 1445.195
1226943557 2018-11-22 17:38:59   7.71  140.4  141.4  131.1  114.8   78.9   90.3  101.6  111.3  58.7  55.0  10453 1445.236
1226947157 2018-11-22 18:38:59   7.75  140.0  141.2  131.1  115.0   78.5   90.0  101.6  111.5  58.6  54.8  10455 1445.278
1226950757 2018-11-22 19:38:59   7.79  139.7  141.0  131.1  115.1   78.1   89.8  101.6  111.7  58.5  54.6  10457 1445.320
1226954357 2018-11-22 20:38:59   7.83  139.3  140.8  131.1  115.3   77.6   89.6  101.5  111.9  58.4  54.4  10459 1445.361
1226957957 2018-11-22 21:38:59   7.87  139.0  140.6  131.1  115.4   77.2   89.3  101.5  112.1  58.3  54.2  10461 1445.403
1226961557 2018-11-22 22:38:59   7.92  138.7  140.4  131.2  115.6   76.7   89.1  101.5  112.4  58.2  54.1  10463 1445.445
1226965157 2018-11-22 23:38:59   7.96  138.3  140.3  131.2  115.7   76.3   88.8  101.5  112.6  58.1  53.9  10465 1445.486
1226968757 2018-11-23 00:38:59   8.00  138.0  140.1  131.2  115.8   75.9   88.6  101.4  112.8  58.0  53.7  10467 1445.528
1226972357 2018-11-23 01:38:59   8.04  137.6  139.9  131.2  116.0   75.4   88.3  101.4  113.0  57.9  53.5  10469 1445.570
1226975957 2018-11-23 02:38:59   8.08  137.3  139.7  131.2  116.1   75.0   88.0  101.4  113.2  57.8  53.3  10471 1445.611
1226979557 2018-11-23 03:38:59   8.12  136.9  139.5  131.2  116.3   74.5   87.8  101.3  113.4  57.7  53.2  10473 1445.653
1226983157 2018-11-23 04:38:59   8.17  136.6  139.2  131.1  116.4   74.1   87.5  101.3  113.6  57.6  53.0  10475 1445.695
1226986757 2018-11-23 05:38:59   8.21  136.2  139.0  131.1  116.5   73.6   87.3  101.2  113.8  57.5  52.8  10477 1445.736
