start_time,median_flux
1326.05478149, 151.20835876
1326.05617036, 151.26097107
1326.05755923, 151.49868774
1326.05894809, 151.52778625
1326.06033696, 151.49612427
1326.06172582, 151.56906128
1326.06311469, 151.59402466
1326.06450356, 151.55247498
1326.06589242, 151.74194336
1326.06728129, 151.86285400
1326.06867015, 151.50529480
1326.07005902, 151.80699158
1326.07144789, 151.70269775
1326.07283675, 152.09242249
1326.07422562, 151.76011658
1326.07561449, 151.92706299
1326.07700335, 151.84709167
1326.07839222, 151.86396790
1326.07978108, 151.72128296
1326.08116995, 151.98652649
1326.08255882, 151.82937622
1326.08394768, 151.84315491
1326.08533655, 152.03594971
1326.08672541, 152.06233215
1326.08811428, 151.94972229
1326.08950315, 152.06990051
1326.09089201, 152.08729553
1326.09228088, 152.05400085
1326.09366974, 152.26834106
1326.09505861, 152.72152710
1326.09644748, 152.47879028
1326.09783634, 151.97169495
1326.09922521, 152.66342163
1326.10061408, 152.54577637
1326.10200294, 152.65803528
1326.10339181, 152.36991882
1326.10478067, 152.41043091
1326.10616954, 152.50888062
1326.10755841, 152.67007446
1326.10894727, 152.54858398
1326.11033614, 152.27902222
1326.11172501, 152.84886169
1326.11311387, 152.66766357
1326.11450274, 152.71864319
1326.11589160, 152.67955017
1326.11728047, 152.86865234
1326.11866934, 152.60125732
1326.12005820, 152.77438354
1326.12144707, 152.85913086
1326.12283593, 152.86949158
1326.12422480, 152.86227417
1326.12561367, 152.88484192
1326.12700253, 153.09547424
1326.12839140, 153.09452820
1326.12978027, 153.14462280
1326.13116913, 153.21493530
1326.13255800, 153.17329407
1326.13394686, 153.06719971
1326.13533573, 152.95137024
1326.13672460, 153.06817627
1326.13811346, 153.08927917
1326.13950233, 153.35752869
1326.14089120, 153.14730835
1326.14228006, 153.23730469
1326.14366893, 153.16821289
1326.14505779, 153.07887268
1326.14644666, 153.12033081
1326.14783553, 152.99180603
1326.14922439, 153.35707092
1326.15061326, 153.09124756
1326.15200213, 153.12988281
1326.15339099, 152.59481812
1326.15477986, 153.23861694
1326.15616873, 153.09118652
1326.15755759, 153.29965210
1326.15894646, 152.83955383
1326.16033532, 153.13046265
1326.16172419, 153.05976868
1326.16311306, 152.91702271
1326.16450192, 153.45231628
1326.16589079, 152.99378967
1326.16727966, 153.04670715
1326.16866852, 152.91374207
1326.17005739, 152.76513672
1326.17144625, 152.94902039
1326.17283512, 153.19361877
1326.17422399, 153.16160583
1326.17561285, 153.08880615
1326.17700172, 152.86508179
1326.17839059, 152.93026733
1326.17977945, 152.91047668
1326.18116832, 153.15689087
1326.18255719, 152.98011780
1326.18394605, 153.23988342
1326.18533492, 153.13952637
1326.18672378, 153.18737793
1326.18811265, 153.16389465
1326.18950152, 153.21954346
1326.19089038, 153.12136841
1326.19227925, 152.99516296
1326.19366812, 152.97657776
1326.19505698, 153.15908813
1326.19644585, 152.99542236
1326.19783472, 152.99984741
1326.19922358, 153.24133301
1326.20061245, 153.10772705
1326.20200131, 153.04765320
1326.20339018, 152.83731079
1326.20477905, 153.07507324
1326.20616791, 152.93743896
1326.20755678, 152.89834595
1326.20894565, 152.90028381
1326.21033451, 152.78025818
1326.21172338, 152.77635193
1326.21311225, 152.57319641
1326.21450111, 152.83923340
1326.21588998, 152.92576599
1326.21727885, 152.85488892
1326.21866771, 152.90489197
1326.22005658, 152.71957397
1326.22144544, 152.95428467
1326.22283431, 152.96585083
1326.22422318, 152.86329651
1326.22561204, 152.58193970
1326.22700091, 152.72822571
1326.22838978, 152.98999023
1326.22977864, 152.92582703
1326.23116751, 152.87890625
1326.23255638, 153.20373535
1326.23394524, 153.03276062
1326.23533411, 152.88446045
1326.23672298, 152.80523682
1326.23811184, 152.71327209
1326.23950071, 152.38687134
1326.24088957, 152.78689575
1326.24227844, 152.61747742
1326.24366731, 152.61128235
1326.24505617, 152.67329407
1326.24644504, 152.81373596
1326.24783391, 152.76261902
1326.24922277, 152.66754150
1326.25061164, 152.69053650
1326.25200051, 152.75610352
