# Quat (xyzw) is -0.408387784782 -0.886471585572 -0.0651625432427 -0.207705050907
# SC Time      Date      Time   D(days) C1-E   C2-E   C3-E   C4-E   C1-M   C2-M   C3-M   C4-M EDist Mdist   FIN    TJD
1218686477 2018-08-19 04:00:59  24.96   50.7   74.5   98.3  122.1   55.1   73.0   92.2  111.2  50.5  88.0   5866 1349.668
1218690077 2018-08-19 05:00:59  25.00   50.9   74.6   98.4  122.2   54.8   72.8   92.0  111.2  50.3  87.8   5868 1349.710
1218693677 2018-08-19 06:00:59  25.04   51.0   74.7   98.5  122.3   54.5   72.6   91.9  111.1  50.0  87.5   5870 1349.752
1218697277 2018-08-19 07:00:59  25.08   51.2   74.9   98.6  122.3   54.2   72.4   91.8  111.1  49.7  87.3   5872 1349.793
1218700877 2018-08-19 08:00:59  25.12   51.4   75.0   98.7  122.4   53.9   72.2   91.7  111.1  49.5  87.1   5874 1349.835
1218704477 2018-08-19 09:00:59  25.17   51.6   75.1   98.8  122.4   53.6   72.0   91.6  111.1  49.2  86.8   5876 1349.877
1218708077 2018-08-19 10:00:59  25.21   51.7   75.3   98.9  122.5   53.3   71.8   91.4  111.0  48.9  86.6   5878 1349.918
1218711677 2018-08-19 11:00:59  25.25   51.9   75.4   99.0  122.6   53.0   71.6   91.3  111.0  48.7  86.3   5880 1349.960
1218715277 2018-08-19 12:00:59  25.29   52.1   75.6   99.1  122.6   52.7   71.3   91.2  111.0  48.4  86.1   5882 1350.002
1218718877 2018-08-19 13:00:59  25.33   52.3   75.7   99.2  122.7   52.5   71.1   91.1  110.9  48.1  85.8   5884 1350.043
1218722477 2018-08-19 14:00:59  25.37   52.5   75.9   99.3  122.7   52.2   70.9   90.9  110.9  47.8  85.5   5886 1350.085
1218726077 2018-08-19 15:00:59  25.42   52.8   76.0   99.4  122.7   51.9   70.7   90.8  110.9  47.5  85.2   5888 1350.127
1218729677 2018-08-19 16:00:59  25.46   53.0   76.2   99.5  122.8   51.6   70.5   90.7  110.8  47.2  84.9   5890 1350.168
1218733277 2018-08-19 17:00:59  25.50   53.2   76.3   99.6  122.8   51.3   70.3   90.5  110.8  46.9  84.6   5892 1350.210
1218736877 2018-08-19 18:00:59  25.54   53.4   76.5   99.7  122.8   51.0   70.1   90.4  110.7  46.6  84.3   5894 1350.252
1218740477 2018-08-19 19:00:59  25.58   53.7   76.7   99.8  122.9   50.7   69.9   90.3  110.7  46.3  84.0   5896 1350.293
1218744077 2018-08-19 20:00:59  25.62   53.9   76.8   99.9  122.9   50.4   69.6   90.1  110.6  46.0  83.7   5898 1350.335
1218747677 2018-08-19 21:00:59  25.67   54.2   77.0  100.0  122.9   50.1   69.4   90.0  110.6  45.7  83.4   5900 1350.377
1218751277 2018-08-19 22:00:59  25.71   54.5   77.2  100.1  122.9   49.8   69.2   89.9  110.5  45.4  83.1   5902 1350.418
1218754877 2018-08-19 23:00:59  25.75   54.7   77.4  100.2  122.9   49.5   69.0   89.7  110.5  45.0  82.7   5904 1350.460
1218758477 2018-08-20 00:00:59  25.79   55.0   77.6  100.3  122.9   49.2   68.8   89.6  110.4  44.7  82.4   5906 1350.502
1218762077 2018-08-20 01:00:59  25.83   55.3   77.8  100.5  122.9   48.9   68.6   89.4  110.3  44.4  82.0   5908 1350.543
1218765677 2018-08-20 02:00:59  25.87   55.6   77.9  100.6  122.9   48.6   68.3   89.3  110.3  44.1  81.7   5910 1350.585
1218769277 2018-08-20 03:00:59  25.92   55.9   78.1  100.7  122.9   48.2   68.1   89.1  110.2  43.7  81.3   5912 1350.627
1218772877 2018-08-20 04:00:59  25.96   56.2   78.4  100.8  122.9   47.9   67.9   89.0  110.1  43.4  80.9   5914 1350.668
1218776477 2018-08-20 05:00:59  26.00   56.6   78.6  100.9  122.9   47.6   67.7   88.8  110.0  43.0  80.6   5916 1350.710
1218780077 2018-08-20 06:00:59  26.04   56.9   78.8  101.0  122.8   47.3   67.4   88.7  109.9  42.7  80.2   5918 1350.752
1218783677 2018-08-20 07:00:59  26.08   57.3   79.0  101.1  122.8   47.0   67.2   88.5  109.9  42.3  79.8   5920 1350.793
1218787277 2018-08-20 08:00:59  26.12   57.6   79.2  101.2  122.8   46.7   67.0   88.3  109.8  42.0  79.4   5922 1350.835
1218790877 2018-08-20 09:00:59  26.17   58.0   79.4  101.3  122.7   46.4   66.7   88.2  109.7  41.6  79.0   5924 1350.877
1218794477 2018-08-20 10:00:59  26.21   58.4   79.7  101.4  122.7   46.1   66.5   88.0  109.6  41.2  78.6   5926 1350.918
1218798077 2018-08-20 11:00:59  26.25   58.8   79.9  101.5  122.6   45.8   66.3   87.8  109.5  40.9  78.1   5928 1350.960
1218801677 2018-08-20 12:00:59  26.29   59.2   80.2  101.6  122.5   45.4   66.0   87.7  109.4  40.5  77.7   5930 1351.002
1218805277 2018-08-20 13:00:59  26.33   59.6   80.4  101.7  122.4   45.1   65.8   87.5  109.3  40.1  77.3   5932 1351.043
1218808877 2018-08-20 14:00:59  26.37   60.0   80.7  101.8  122.4   44.8   65.5   87.3  109.1  39.7  76.8   5934 1351.085
1218812477 2018-08-20 15:00:59  26.42   60.5   81.0  101.9  122.3   44.5   65.3   87.1  109.0  39.4  76.4   5936 1351.127
1218816077 2018-08-20 16:00:59  26.46   60.9   81.2  102.0  122.1   44.2   65.0   86.9  108.9  39.0  75.9   5938 1351.168
1218819677 2018-08-20 17:00:59  26.50   61.4   81.5  102.1  122.0   43.8   64.8   86.7  108.8  38.6  75.5   5940 1351.210
1218823277 2018-08-20 18:00:59  26.54   61.9   81.8  102.2  121.9   43.5   64.5   86.5  108.6  38.2  75.0   5942 1351.252
1218826877 2018-08-20 19:00:59  26.58   62.4   82.1  102.3  121.8   43.2   64.3   86.3  108.5  37.8  74.5   5944 1351.293
1218830477 2018-08-20 20:00:59  26.62   62.9   82.4  102.4  121.6   42.8   64.0   86.1  108.3  37.4  74.0   5946 1351.335
1218834077 2018-08-20 21:00:59  26.67   63.4   82.7  102.5  121.4   42.5   63.7   85.9  108.2  37.0  73.5   5948 1351.377
1218837677 2018-08-20 22:00:59  26.71   64.0   83.1  102.6  121.2   42.2   63.5   85.7  108.0  36.5  73.0   5950 1351.418
1218841277 2018-08-20 23:00:59  26.75   64.6   83.4  102.7  121.0   41.8   63.2   85.5  107.9  36.1  72.5   5952 1351.460
1218844877 2018-08-21 00:00:59  26.79   65.1   83.7  102.8  120.8   41.5   62.9   85.2  107.7  35.7  72.0   5954 1351.502
1218848477 2018-08-21 01:00:59  26.83   65.8   84.1  102.8  120.6   41.1   62.6   85.0  107.5  35.3  71.4   5956 1351.543
1218852077 2018-08-21 02:00:59  26.87   66.4   84.4  102.9  120.4   40.8   62.3   84.8  107.3  34.9  70.9   5958 1351.585
1218855677 2018-08-21 03:00:59  26.92   67.0   84.8  103.0  120.1   40.4   62.0   84.5  107.1  34.4  70.3   5960 1351.627
1218859277 2018-08-21 04:00:59  26.96   67.7   85.2  103.1  119.8   40.1   61.7   84.3  106.9  34.0  69.8   5962 1351.668
1218862877 2018-08-21 05:00:59  27.00   68.4   85.6  103.2  119.5   39.7   61.4   84.0  106.7  33.5  69.2   5964 1351.710
1218866477 2018-08-21 06:00:59  27.04   69.1   86.0  103.2  119.2   39.4   61.1   83.7  106.5  33.1  68.6   5966 1351.752
1218870077 2018-08-21 07:00:59  27.08   69.9   86.4  103.3  118.9   39.0   60.8   83.5  106.2  32.7  68.1   5968 1351.793
1218873677 2018-08-21 08:00:59  27.12   70.7   86.9  103.4  118.5   38.6   60.5   83.2  106.0  32.2  67.5   5970 1351.835
1218877277 2018-08-21 09:00:59  27.17   71.5   87.3  103.4  118.1   38.2   60.1   82.9  105.7  31.7  66.9   5972 1351.877
1218880877 2018-08-21 10:00:59  27.21   72.3   87.8  103.5  117.7   37.8   59.8   82.6  105.5  31.3  66.3   5974 1351.918
1218884477 2018-08-21 11:00:59  27.25   73.2   88.3  103.5  117.2   37.4   59.5   82.3  105.2  30.8  65.7   5976 1351.960
1218888077 2018-08-21 12:00:59  27.29   74.1   88.8  103.6  116.8   37.0   59.1   81.9  104.9  30.4  65.0   5978 1352.002
1218891677 2018-08-21 13:00:59  27.33   75.0   89.3  103.6  116.3   36.6   58.7   81.6  104.6  29.9  64.4   5980 1352.043
1218895277 2018-08-21 14:00:59  27.37   76.0   89.8  103.6  115.7   36.2   58.4   81.3  104.3  29.4  63.8   5982 1352.085
1218898877 2018-08-21 15:00:59  27.42   77.0   90.3  103.6  115.2   35.8   58.0   80.9  104.0  29.0  63.1   5984 1352.127
1218902477 2018-08-21 16:00:59  27.46   78.0   90.9  103.6  114.6   35.4   57.6   80.5  103.6  28.5  62.5   5986 1352.168
1218906077 2018-08-21 17:00:59  27.50   79.1   91.5  103.6  113.9   35.0   57.2   80.2  103.3  28.0  61.8   5988 1352.210
1218909677 2018-08-21 18:00:59  27.54   80.2   92.1  103.6  113.2   34.5   56.8   79.8  102.9  27.6  61.2   5990 1352.252
1218913277 2018-08-21 19:00:59  27.58   81.4   92.7  103.6  112.5   34.1   56.3   79.4  102.5  27.1  60.5   5992 1352.293
1218916877 2018-08-21 20:00:59  27.62   82.6   93.3  103.5  111.7   33.6   55.9   78.9  102.1  26.6  59.8   5994 1352.335
1218920477 2018-08-21 21:00:59  27.67   83.9   94.0  103.5  110.9   33.2   55.4   78.5  101.7  26.1  59.2   5996 1352.377
1218924077 2018-08-21 22:00:59  27.71   85.2   94.7  103.4  110.0   32.7   55.0   78.0  101.3  25.7  58.5   5998 1352.418
1218927677 2018-08-21 23:00:59  27.75   86.6   95.4  103.3  109.1   32.2   54.5   77.5  100.8  25.2  57.8   6000 1352.460
1218931277 2018-08-22 00:00:59  27.79   88.0   96.1  103.2  108.1   31.7   54.0   77.1  100.3  24.7  57.2   6002 1352.502
1218934877 2018-08-22 01:00:59  27.83   89.5   96.8  103.0  107.1   31.2   53.5   76.5   99.8  24.2  56.5   6004 1352.543
1218938477 2018-08-22 02:00:59  27.87   91.0   97.6  102.8  105.9   30.7   52.9   76.0   99.3  23.8  55.8   6006 1352.585
1218942077 2018-08-22 03:00:59  27.92   92.6   98.3  102.6  104.8   30.2   52.4   75.5   98.7  23.3  55.2   6008 1352.627
1218945677 2018-08-22 04:00:59  27.96   94.3   99.1  102.4  103.5   29.7   51.8   74.9   98.1  22.9  54.5   6010 1352.668
1218949277 2018-08-22 05:00:59  28.00   96.0   99.9  102.1  102.2   29.2   51.3   74.3   97.5  22.4  53.9   6012 1352.710
1218952877 2018-08-22 06:00:59  28.04   97.8  100.8  101.8  100.8   28.7   50.7   73.7   96.9  22.0  53.2   6014 1352.752
1218956477 2018-08-22 07:00:59  28.08   99.7  101.6  101.5   99.4   28.2   50.1   73.0   96.3  21.6  52.6   6016 1352.793
1218960077 2018-08-22 08:00:59  28.12  101.6  102.4  101.1   97.9   27.7   49.5   72.4   95.6  21.1  52.0   6018 1352.835
1218963677 2018-08-22 09:00:59  28.17  103.5  103.3  100.7   96.2   27.2   48.8   71.7   94.9  20.7  51.4   6020 1352.877
1218967277 2018-08-22 10:00:59  28.21  105.6  104.1  100.2   94.6   26.8   48.2   71.0   94.2  20.3  50.8   6022 1352.918
1218970877 2018-08-22 11:00:59  28.25  107.6  104.9   99.7   92.8   26.3   47.6   70.3   93.4  20.0  50.3   6024 1352.960
1218974477 2018-08-22 12:00:59  28.29  109.7  105.7   99.1   91.0   25.9   46.9   69.6   92.7  19.6  49.8   6026 1353.002
1218978077 2018-08-22 13:00:59  28.33  111.9  106.5   98.4   89.1   25.5   46.3   68.9   91.9  19.2  49.3   6028 1353.043
1218981677 2018-08-22 14:00:59  28.37  114.0  107.3   97.7   87.1   25.2   45.7   68.2   91.1  18.9  48.9   6030 1353.085
1218985277 2018-08-22 15:00:59  28.42  116.2  108.0   97.0   85.1   25.0   45.1   67.4   90.3  18.6  48.5   6032 1353.127
1218988877 2018-08-22 16:00:59  28.46  118.4  108.6   96.2   83.0   24.7   44.5   66.7   89.5  18.4  48.2   6034 1353.168
1218992477 2018-08-22 17:00:59  28.50  120.5  109.2   95.3   80.9   24.6   43.9   66.0   88.7  18.1  48.0   6036 1353.210
1218996077 2018-08-22 18:00:59  28.54  122.5  109.7   94.4   78.8   24.6   43.4   65.3   87.9  17.9  47.7   6038 1353.252
1218999677 2018-08-22 19:00:59  28.58  124.4  110.0   93.5   76.6   24.6   42.9   64.6   87.1  17.7  47.6   6040 1353.293
1219003277 2018-08-22 20:00:59  28.62  126.2  110.3   92.5   74.5   24.7   42.5   64.0   86.3  17.6  47.5   6042 1353.335
1219006877 2018-08-22 21:00:59  28.67  127.8  110.5   91.5   72.4   24.9   42.1   63.3   85.5  17.4  47.5   6044 1353.377
1219010477 2018-08-22 22:00:59  28.71  129.3  110.6   90.5   70.4   25.2   41.8   62.8   84.8  17.3  47.6   6046 1353.418
1219014077 2018-08-22 23:00:59  28.75  130.5  110.5   89.5   68.4   25.5   41.5   62.2   84.1  17.3  47.7   6048 1353.460
